Wavenumber(cm-1),Intensity
2.164232081911262867e+03,9.627560521415270411e-01
2.164095563139931528e+03,9.627560521415270411e-01
2.162593856655289983e+03,9.627560521415270411e-01
2.162457337883959099e+03,9.627560521415270411e-01
2.165870307167235296e+03,9.618249534450651339e-01
2.165733788395904412e+03,9.618249534450651339e-01
2.164232081911262867e+03,9.618249534450651339e-01
2.164095563139931528e+03,9.618249534450651339e-01
2.162593856655289983e+03,9.618249534450651339e-01
2.162457337883959099e+03,9.618249534450651339e-01
2.165870307167235296e+03,9.608938547486033377e-01
2.165733788395904412e+03,9.608938547486033377e-01
2.164232081911262867e+03,9.608938547486033377e-01
2.164095563139931528e+03,9.608938547486033377e-01
2.162593856655289983e+03,9.608938547486033377e-01
2.162457337883959099e+03,9.608938547486033377e-01
2.165870307167235296e+03,9.599627560521415415e-01
2.165733788395904412e+03,9.599627560521415415e-01
2.164232081911262867e+03,9.599627560521415415e-01
2.164095563139931528e+03,9.599627560521415415e-01
2.162593856655289983e+03,9.599627560521415415e-01
2.162457337883959099e+03,9.599627560521415415e-01
2.165870307167235296e+03,9.590316573556797453e-01
2.165733788395904412e+03,9.590316573556797453e-01
2.164232081911262867e+03,9.590316573556797453e-01
2.164095563139931528e+03,9.590316573556797453e-01
2.162593856655289983e+03,9.590316573556797453e-01
2.162457337883959099e+03,9.590316573556797453e-01
2.165870307167235296e+03,9.581005586592178380e-01
2.165733788395904412e+03,9.581005586592178380e-01
2.164232081911262867e+03,9.581005586592178380e-01
2.164095563139931528e+03,9.581005586592178380e-01
2.162593856655289983e+03,9.581005586592178380e-01
2.162457337883959099e+03,9.581005586592178380e-01
2.165870307167235296e+03,9.571694599627560418e-01
2.165733788395904412e+03,9.571694599627560418e-01
2.164300341296928309e+03,9.571694599627560418e-01
2.164095563139931528e+03,9.571694599627560418e-01
2.162593856655289983e+03,9.571694599627560418e-01
2.162457337883959099e+03,9.571694599627560418e-01
2.165870307167235296e+03,9.562383612662942456e-01
2.165733788395904412e+03,9.562383612662942456e-01
2.164300341296928309e+03,9.562383612662942456e-01
2.164095563139931528e+03,9.562383612662942456e-01
